id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,style_id
7129300520,221900,3,1,1180,5650,1,0,7,1180,0,1955,98178,40.6943,-73.9249,5
6414100192,538000,3,2.25,2570,7242,2,0,7,2170,400,1951,98125,34.1139,-118.4068,1
5631500400,180000,2,1,770,10000,1,0,6,770,0,1933,98028,41.8373,-87.6862,6
2487200875,604000,4,3,1960,5000,1,0,7,1050,910,1965,98136,25.7839,-80.2102,3
1954400510,510000,3,2,1680,8080,1,0,8,1680,0,1987,98074,32.7936,-96.7662,1
7237550310,1.23E+06,4,4.5,5420,101930,1,0,11,3890,1530,2001,98053,40.0077,-75.1339,3
1321400060,257500,3,2.25,1715,6819,2,0,7,1715,0,1995,98003,29.7863,-95.3889,2
2008000270,291850,3,1.5,1060,9711,1,0,7,1060,0,1963,98198,33.7627,-84.4224,5
2414600126,229500,3,1,1780,7470,1,0,7,1050,730,1960,98146,38.9047,-77.0163,6
3793500160,323000,3,2.5,1890,6560,2,0,7,1890,0,2003,98038,42.3188,-71.0846,3
1736800520,662500,3,2.5,3560,9796,1,0,8,1860,1700,1965,98007,33.5722,-112.0891,5
9212900260,468000,2,1,1160,6000,1,0,7,860,300,1942,98115,47.6211,-122.3244,5
114101516,310000,3,1,1430,19901,1.5,0,7,1430,0,1927,98028,37.7562,-122.443,4
6054650070,400000,3,1.75,1370,9680,1,0,7,1370,0,1977,98074,42.3834,-83.1024,3
1175000570,530000,5,2,1810,4850,1.5,0,7,1810,0,1900,98107,32.8312,-117.1225,3
9297300055,650000,4,3,2950,5000,2,0,9,1980,970,1979,98126,44.9635,-93.2678,5
1875500060,395000,3,2,1890,14040,2,0,7,1890,0,1994,98019,27.9942,-82.4451,6
6865200140,485000,4,1,1600,4300,1.5,0,7,1600,0,1916,98103,39.7621,-104.8759,7
16000397,189000,2,1,1200,9850,1,0,7,1200,0,1921,98002,40.6501,-73.9496,1
7983200060,230000,3,1,1250,9774,1,0,7,1250,0,1969,98003,40.7498,-73.7976,7
6300500875,385000,4,1.75,1620,4980,1,0,7,860,760,1947,98133,33.9381,-117.3948,4
2524049179,2.00E+06,3,2.75,3050,44867,1,0,9,2330,720,1968,98040,39.3051,-76.6144,6
7137970340,285000,5,2.5,2270,6300,2,0,8,2270,0,1995,98092,36.2333,-115.2654,1
8091400200,252700,2,1.5,1070,9643,1,0,7,1070,0,1985,98030,45.5372,-122.65,4
3814700200,329000,3,2.25,2450,6500,2,0,8,2450,0,1985,98030,29.4658,-98.5253,7
1202000200,233000,3,2,1710,4697,1.5,0,6,1710,0,1941,98002,38.6358,-90.2451,7
1794500383,937000,3,1.75,2450,2691,2,0,8,1750,700,1915,98119,38.5667,-121.4683,4
3303700376,667000,3,1,1400,1581,1.5,0,8,1400,0,1909,98112,28.4772,-81.3369,6
5101402488,438000,3,1.75,1520,6380,1,0,7,790,730,1948,98115,37.3019,-121.8486,6
1873100390,719000,4,2.5,2570,7173,2,0,8,2570,0,2005,98052,41.4767,-81.6804,7
8562750320,580500,3,2.5,2320,3980,2,0,8,2320,0,2003,98027,40.4396,-79.9762,4
2426039314,280000,2,1.5,1190,1265,3,0,7,1190,0,2005,98133,30.3004,-97.7522,4
461000390,687500,4,1.75,2330,5000,1.5,0,7,1510,820,1929,98117,39.1413,-84.5061,1
7589200193,535000,3,1,1090,3000,1.5,0,8,1090,0,1929,98117,39.1239,-94.5541,7
7955080270,322500,4,2.75,2060,6659,1,0,7,1280,780,1981,98058,40.7834,-73.9662,4
9547205180,696000,3,2.5,2300,3060,1.5,0,8,1510,790,1930,98115,39.7771,-86.1458,3
9435300030,550000,4,1,1660,34848,1,0,5,930,730,1933,98052,39.9862,-82.985,6
2768000400,640000,4,2,2360,6000,2,0,8,2360,0,1904,98107,35.208,-80.8304,2
7895500070,240000,4,1,1220,8075,1,0,7,890,330,1969,98001,36.7335,-76.0435,2
2078500320,605000,4,2.5,2620,7553,2,0,8,2620,0,1996,98056,40.8501,-73.8662,6
5547700270,625000,4,2.5,2570,5520,2,0,9,2570,0,2000,98074,43.0642,-87.9673,2
7766200013,775000,4,2.25,4220,24186,1,0,8,2600,1620,1984,98166,41.823,-71.4187,3
7203220400,861990,5,2.75,3595,5639,2,0,9,3595,0,2014,98053,30.3322,-81.6749,3
9270200160,685000,3,1,1570,2280,2,0,7,1570,0,1922,98119,40.7777,-111.9306,3
1432701230,309000,3,1,1280,9656,1,0,6,920,360,1959,98058,36.1715,-86.7843,3
8035350320,488000,3,2.5,3160,13603,2,0,8,3160,0,2003,98019,37.5295,-77.4756,3
8945200830,210490,3,1,990,8528,1,0,6,990,0,1966,98023,35.1046,-89.9773,6
4178300310,785000,4,2.5,2290,13416,2,0,9,2290,0,1981,98007,35.8325,-78.6435,3
9215400105,450000,3,1.75,1250,5963,1,0,7,1250,0,1953,98115,30.0687,-89.9288,1
822039084,1.35E+06,3,2.5,2753,65005,1,1,9,2165,588,1953,98070,38.1663,-85.6485,6
5245600105,228000,3,1,1190,9199,1,0,7,1190,0,1955,98148,35.4676,-97.5136,6
7231300125,345000,5,2.5,3150,9134,1,0,8,1640,1510,1966,98056,41.1918,-73.1953,5
7518505990,600000,3,1.75,1410,4080,1,0,7,1000,410,1950,98117,42.9016,-78.8487,6
3626039271,585000,2,1.75,1980,8550,1,0,7,990,990,1981,98117,32.7811,-97.3473,1
4217401195,920000,5,2.25,2730,6000,1.5,0,8,2130,600,1927,98105,41.7661,-72.6834,5
9822700295,885000,4,2.5,2830,5000,2,0,9,2830,0,1995,98105,32.1545,-110.8782,2
9478500640,292500,4,2.5,2250,4495,2,0,7,2250,0,2008,98042,41.2627,-96.0522,6
2799800710,301000,3,2.5,2420,4750,2,0,8,2420,0,2003,98042,31.8479,-106.4309,6
7922800400,951000,5,3.25,3250,14342,2,0,8,3250,0,1968,98008,21.3294,-157.846,4
8079040320,430000,4,3,1850,9976,2,0,8,1850,0,1991,98059,26.2273,-98.2471,3
1516000055,650000,3,2.25,2150,21235,1,0,8,1590,560,1959,98166,35.1053,-106.6464,1
9558200045,289000,3,1.75,1260,8400,1,0,7,1260,0,1954,98148,33.5277,-86.7987,7
5072410070,505000,3,1.75,2519,8690,2,0,8,2519,0,1973,98166,27.3386,-82.5431,4
9528102996,549000,3,1.75,1540,1044,3,0,8,1540,0,2014,98115,39.7797,-84.1998,3
1189001180,425000,3,2.25,1660,6000,1,0,7,1110,550,1979,98122,43.168,-77.6162,5
3253500160,317625,3,2.75,2770,3809,1.5,0,7,1770,1000,1925,98144,36.7831,-119.7941,7
3394100030,975000,4,2.5,2720,11049,2,0,10,2720,0,1989,98004,40.5961,-75.4756,1
3717000160,287000,4,2.5,2240,4648,2,0,7,2240,0,2005,98001,36.1284,-95.9042,2
1274500060,204000,3,1,1000,12070,1,0,7,1000,0,1968,98042,26.6446,-81.9956,3
1802000060,1.33E+06,5,2.25,3200,20158,1,0,8,1600,1600,1965,98004,37.9722,-122.0016,3
1525059190,1.04E+06,5,3.25,4770,50094,1,0,11,3070,1700,1973,98005,38.8674,-104.7606,7
1049000060,325000,3,2,1260,5612,1,0,7,1260,0,1972,98034,32.8153,-79.9628,6
8820901275,571000,4,2,2750,7807,1.5,0,7,2250,500,1916,98125,42.1155,-72.5395,2
5416510140,360000,4,2.5,2380,5000,2,0,8,2380,0,2005,98038,42.962,-85.6562,1
3444100400,349000,3,1.75,1790,50529,1,0,7,1090,700,1965,98042,33.6095,-117.655,3
3276920270,832500,4,4,3430,35102,2,0,10,2390,1040,1986,98075,42.6664,-73.7987,1
4036801170,380000,4,1.75,1760,7300,1,0,7,880,880,1956,98008,35.9692,-83.9496,6
2391600320,480000,3,1,1040,5060,1,0,7,1040,0,1941,98116,35.3529,-119.0359,5
6300000287,410000,3,1,1410,5060,1,0,7,910,500,1956,98133,41.2278,-111.9682,3
1531000030,720000,4,2.5,3450,39683,2,0,10,3450,0,2002,98010,30.4418,-91.131,6
5104520400,390000,3,2.5,2350,5100,2,0,8,2350,0,2003,98038,41.0798,-81.5219,7
7437100340,360000,4,2.5,1900,5889,2,0,7,1900,0,1992,98038,41.3112,-72.9246,7
9418400240,355000,2,1,2020,6720,1,0,7,1010,1010,1948,98118,34.0376,-80.9037,2
1523059105,356000,3,1.5,1680,8712,1,0,8,1680,0,1964,98059,33.4017,-111.718,7
1133000671,315000,3,1,960,6634,1,0,6,960,0,1952,98125,27.955,-80.6627,3
4232902595,940000,3,1.5,2140,3600,2,0,9,1900,240,1925,98119,40.2457,-111.6457,7
2599001200,305000,5,2.25,2660,8400,1.5,0,7,2660,0,1961,98092,42.2705,-71.8079,6
3342103156,461000,3,3.25,2770,6278,2,0,9,1980,790,2006,98056,33.572,-117.1909,1
1332700270,215000,2,2.25,1610,2040,2,0,7,1610,0,1979,98056,34.8353,-82.3647,2
3869900162,335000,2,1.75,1030,1066,2,0,7,765,265,2006,98136,37.6896,-97.3442,3
2791500270,243500,4,2.5,1980,7403,2,0,7,1980,0,1988,98023,41.6639,-83.5822,6
5036300431,1.10E+06,5,2.75,3520,6353,2,0,10,3520,0,2001,98199,40.5834,-74.1496,2
4168000060,153000,3,1,1200,10500,1,0,7,1200,0,1962,98023,41.5725,-93.6105,2
6021501535,430000,3,1.5,1580,5000,1,0,8,1290,290,1939,98117,33.7981,-118.1675,2
6021501535,700000,3,1.5,1580,5000,1,0,8,1290,290,1939,98117,27.2796,-80.3883,7
1483300570,905000,4,2.5,3300,10250,1,0,7,2390,910,1946,98040,33.2176,-97.1419,5
3422049190,247500,3,1.75,1960,15681,1,0,7,1960,0,1967,98032,43.0826,-89.3931,2
1099611230,199000,4,1.5,1160,6400,1,0,7,1160,0,1975,98023,39.5497,-119.8483,2
722079104,314000,3,1.75,1810,41800,1,0,7,1210,600,1980,98038,40.2752,-76.8843,3
7338200240,437500,3,2.5,2320,36847,2,0,9,2320,0,1992,98045,34.7256,-92.3576,7
1952200240,850830,3,2.5,2070,13241,1.5,0,9,1270,800,1910,98102,37.7903,-122.2165,7
5200100125,555000,3,2,1980,3478,1.5,0,7,1440,540,1929,98117,35.9794,-78.9031,2
7214720075,699950,3,2.25,2190,107593,2,0,8,2190,0,1983,98077,36.1029,-80.2611,1
2450000295,1.09E+06,3,2.5,2920,8113,2,0,8,2920,0,1950,98004,26.3559,-81.7861,5
6197800045,290000,3,1,1210,33919,1,0,7,1210,0,1954,98058,33.7346,-116.2346,6
1328310370,375000,3,2.5,2340,10005,1,0,8,1460,880,1978,98058,29.5392,-81.246,6
546000875,460000,3,1,1670,4005,1.5,0,7,1170,500,1939,98117,35.0657,-85.2488,4
3530510041,188500,2,1.75,1240,2493,1,0,8,1240,0,1985,98198,47.6671,-117.433,1
1853000400,680000,4,2.5,3140,28037,2,0,10,3140,0,1991,98077,43.0409,-76.1438,7
3134100116,470000,5,1.75,2030,12342,2,0,7,2030,0,1942,98052,40.0421,-76.3012,4
9545230140,597750,4,2.5,2310,9624,2,0,8,2310,0,1984,98027,32.6998,-97.125,2
3362400511,570000,3,1.75,1260,3328,1,0,6,700,560,1905,98103,37.9765,-121.3109,2
2525310310,272500,3,1.75,1540,12600,1,0,7,1160,380,1980,98038,41.6949,-73.921,6
6126500060,329950,3,1.75,2080,5969,1,0,7,1080,1000,1971,98108,33.3645,-82.0708,2
8961960160,480000,4,2.5,3230,16171,2,0,9,2520,710,2001,98001,43.6007,-116.2312,7
3626039325,740500,3,3.5,4380,6350,2,0,8,2780,1600,1900,98117,34.1963,-119.1815,4
3362400431,518500,3,3.5,1590,1102,3,0,8,1590,0,2010,98103,41.4044,-75.6649,4
4060000240,205425,2,1,880,6780,1,0,6,880,0,1945,98178,37.6374,-121.0028,2
3454800060,171800,4,2,1570,9600,1,0,6,1570,0,1950,98168,28.3042,-81.4164,3
1695900060,535000,4,1,1610,2982,1.5,0,7,1610,0,1925,98144,39.7087,-104.7273,3
7278700070,660000,3,2.5,2400,6474,1,0,8,1560,840,1964,98177,41.0993,-80.6463,4
6675500070,391500,3,2,1450,9132,1,0,7,1450,0,1987,98034,36.0713,-94.166,2
3626039187,395000,2,1,770,6000,1,0,6,770,0,1953,98117,33.839,-117.8572,6
3524049083,445000,4,1.75,2100,4400,1.5,0,7,1720,380,1924,98118,30.4427,-87.1886,3
3275860240,770000,3,2.25,2910,10204,2,0,9,2910,0,1990,98052,34.5277,-117.3536,6
4389200955,1.45E+06,4,2.75,2750,17789,1.5,0,8,1980,770,1914,98004,34.6935,-118.1753,3
4058801670,445000,3,2.25,2100,8201,1,0,8,1620,480,1967,98178,36.0956,-79.8269,5
